left_factor,right_factor,scope,relation,same_family,flagged_by_development,high_correlation_periods,high_correlation_period_count,suggested_action,correlation_development,abs_correlation_development,correlation_selection,abs_correlation_selection,correlation_observation,abs_correlation_observation
ret_10d,turnover_z_20d,sector,empirical_only,False,False,,0,keep,0.4513235632670141,0.4513235632670141,0.46738239967593215,0.46738239967593215,0.46284248159841157,0.46284248159841157
ret_5d,ret_20d,sector,same_raw_sources,True,False,,0,keep,0.4490756832989666,0.4490756832989666,0.43402776738814536,0.43402776738814536,0.44995881369237584,0.44995881369237584
risk_adj_10_20,volume_z_20d,sector,empirical_only,False,False,,0,keep,0.4458535460192495,0.4458535460192495,0.47680748389062805,0.47680748389062805,0.4543178785969368,0.4543178785969368
ret_20d,risk_adj_5_20,sector,same_raw_sources,True,False,,0,keep,0.4453616299907818,0.4453616299907818,0.4135153324544117,0.4135153324544117,0.45673319597671413,0.45673319597671413
ret_5d,risk_adj_20_60,sector,same_raw_sources,True,False,,0,keep,0.4425859573766032,0.4425859573766032,0.4296383964239591,0.4296383964239591,0.4293160819190039,0.4293160819190039
ret_10d,volume_z_20d,sector,empirical_only,False,False,,0,keep,0.44178592322240584,0.44178592322240584,0.46714734638933575,0.46714734638933575,0.46269128833526274,0.46269128833526274
close_pos_20d,turnover_z_20d,sector,empirical_only,False,False,,0,keep,0.43750192099510665,0.43750192099510665,0.4336412651034048,0.4336412651034048,0.4336798973145734,0.4336798973145734
ret_3d,turnover_z_20d,sector,empirical_only,False,False,,0,keep,0.43547935372656654,0.43547935372656654,0.4300139509480344,0.4300139509480344,0.42725253552886583,0.42725253552886583
ret_5d,drawdown_60d,sector,same_raw_sources,False,False,,0,keep,0.43128494646493737,0.43128494646493737,0.42106969517448006,0.42106969517448006,0.4400353652831641,0.4400353652831641
close_pos_20d,volume_z_20d,sector,empirical_only,False,False,,0,keep,0.4296158777229693,0.4296158777229693,0.43577065359152184,0.43577065359152184,0.43478095059836797,0.43478095059836797
ret_3d,volume_z_20d,sector,empirical_only,False,False,,0,keep,0.4256657096177481,0.4256657096177481,0.42789141214421084,0.42789141214421084,0.42552958457721407,0.42552958457721407
risk_adj_5_20,drawdown_60d,sector,same_raw_sources,False,False,,0,keep,0.42281655343080593,0.42281655343080593,0.4125161162567971,0.4125161162567971,0.4389173578728447,0.4389173578728447
ret_60d,ma_gap_5_20,sector,same_raw_sources,True,False,,0,keep,0.4208528003396231,0.4208528003396231,0.3969149685252235,0.3969149685252235,0.4576290918013225,0.4576290918013225
market_breadth_20d,market_trend_60d,context,same_raw_sources,True,False,,0,keep,0.41715866700811854,0.41715866700811854,0.513279208941819,0.513279208941819,0.5217769933018936,0.5217769933018936
ret_1d,ret_5d,sector,same_raw_sources,True,False,,0,keep,0.4009136453818865,0.4009136453818865,0.3918435284732728,0.3918435284732728,0.42213379653879196,0.42213379653879196
market_breadth_20d,market_breadth_60d,context,same_raw_sources,True,False,,0,keep,0.40071587249525137,0.40071587249525137,0.4862085413838055,0.4862085413838055,0.5494996510426972,0.5494996510426972
ret_1d,close_pos_20d,sector,overlapping_raw_sources,False,False,,0,keep,0.3856327553037971,0.3856327553037971,0.37516711560925453,0.37516711560925453,0.38627190102923925,0.38627190102923925
ret_1d,risk_adj_5_20,sector,right_derived_from_left,True,False,,0,keep,0.38422184198841475,0.38422184198841475,0.37326059243268744,0.37326059243268744,0.3946393899331138,0.3946393899331138
ret_3d,drawdown_60d,sector,same_raw_sources,False,False,,0,keep,0.3600906085187009,0.3600906085187009,0.36144669748327024,0.36144669748327024,0.3651338195344228,0.3651338195344228
close_pos_20d,ma_gap_10_60,sector,overlapping_raw_sources,False,False,,0,keep,0.3462191245407904,0.3462191245407904,0.36033604170053185,0.36033604170053185,0.4181471926141812,0.4181471926141812
ma_gap_5_20,turnover_z_20d,sector,empirical_only,False,False,,0,keep,0.34472686195039454,0.34472686195039454,0.3609488539985168,0.3609488539985168,0.3690130834242365,0.3690130834242365
ret_60d,risk_adj_10_20,sector,same_raw_sources,True,False,,0,keep,0.34443857610134204,0.34443857610134204,0.3047090701477782,0.3047090701477782,0.3827433652768568,0.3827433652768568
ret_10d,ret_60d,sector,same_raw_sources,True,False,,0,keep,0.3438283579378672,0.3438283579378672,0.3224291710364635,0.3224291710364635,0.360610444255159,0.360610444255159
ret_3d,ret_20d,sector,same_raw_sources,True,False,,0,keep,0.34158784866117503,0.34158784866117503,0.32955179241907995,0.32955179241907995,0.3454229461823448,0.3454229461823448
ret_10d,ma_gap_10_60,sector,same_raw_sources,True,False,,0,keep,0.33941282017789454,0.33941282017789454,0.3218332805448872,0.3218332805448872,0.3776318388098199,0.3776318388098199
ma_gap_5_20,volume_z_20d,sector,empirical_only,False,False,,0,keep,0.33841840439685816,0.33841840439685816,0.3637965277208685,0.3637965277208685,0.3700635167285767,0.3700635167285767
ret_3d,risk_adj_20_60,sector,same_raw_sources,True,False,,0,keep,0.33789251995995245,0.33789251995995245,0.3286702567084704,0.3286702567084704,0.33253347080017354,0.33253347080017354
risk_adj_10_20,ma_gap_10_60,sector,same_raw_sources,True,False,,0,keep,0.3368258393305768,0.3368258393305768,0.3025195186632524,0.3025195186632524,0.40440814141572784,0.40440814141572784
ret_60d,close_pos_20d,sector,overlapping_raw_sources,False,False,,0,keep,0.33264021291590884,0.33264021291590884,0.33557852332670335,0.33557852332670335,0.38441730740956725,0.38441730740956725
risk_adj_20_60,turnover_z_20d,sector,empirical_only,False,False,,0,keep,0.3076950006604226,0.3076950006604226,0.3095591909314122,0.3095591909314122,0.3235368407122826,0.3235368407122826
risk_adj_20_60,volume_z_20d,sector,empirical_only,False,False,,0,keep,0.30295296290415613,0.30295296290415613,0.31511040004017543,0.31511040004017543,0.3250580063642206,0.3250580063642206
ret_20d,turnover_z_20d,sector,empirical_only,False,False,,0,keep,0.3000154947042875,0.3000154947042875,0.2993080111381204,0.2993080111381204,0.3236706929774975,0.3236706929774975
market_breadth_20d,market_vol_percentile,context,same_raw_sources,True,False,,0,keep,-0.2977711206031229,0.2977711206031229,-0.40749231237263084,0.40749231237263084,-0.7030499988098955,0.7030499988098955
ret_20d,volume_z_20d,sector,empirical_only,False,False,,0,keep,0.29480703409583525,0.29480703409583525,0.30534174049515656,0.30534174049515656,0.32477160903477814,0.32477160903477814
market_breadth_60d,market_vol_percentile,context,same_raw_sources,True,False,,0,keep,-0.2819083297430955,0.2819083297430955,-0.39983884075307985,0.39983884075307985,-0.6204724278803962,0.6204724278803962
ret_1d,ret_10d,sector,same_raw_sources,True,False,,0,keep,0.28031030225234643,0.28031030225234643,0.2710110011051017,0.2710110011051017,0.30668211111144966,0.30668211111144966
ret_1d,risk_adj_10_20,sector,right_derived_from_left,True,False,,0,keep,0.27294264506590155,0.27294264506590155,0.26483883124396623,0.26483883124396623,0.28976305645230016,0.28976305645230016
ret_1d,turnover_z_20d,sector,empirical_only,False,False,,0,keep,0.2662574572405371,0.2662574572405371,0.2546090062972749,0.2546090062972749,0.2409147572117771,0.2409147572117771
ret_1d,volume_z_20d,sector,empirical_only,False,False,,0,keep,0.26110712143331805,0.26110712143331805,0.25357973654434873,0.25357973654434873,0.23940435724310022,0.23940435724310022
ret_3d,ma_gap_5_20,sector,same_raw_sources,True,False,,0,keep,0.2500632194859648,0.2500632194859648,0.22562425667694294,0.22562425667694294,0.26951305000458814,0.26951305000458814
drawdown_60d,turnover_z_20d,sector,empirical_only,False,False,,0,keep,0.2494847142265865,0.2494847142265865,0.25091386695561696,0.25091386695561696,0.2516318451909784,0.2516318451909784
ret_60d,risk_adj_5_20,sector,same_raw_sources,True,False,,0,keep,0.24805136226330457,0.24805136226330457,0.21745698860453438,0.21745698860453438,0.27485017109800575,0.27485017109800575
drawdown_60d,volume_z_20d,sector,empirical_only,False,False,,0,keep,0.24488144637601927,0.24488144637601927,0.25746224790636923,0.25746224790636923,0.2544743192324001,0.2544743192324001
ret_5d,ret_60d,sector,same_raw_sources,True,False,,0,keep,0.2407071946954777,0.2407071946954777,0.22611733630280031,0.22611733630280031,0.24636611164385236,0.24636611164385236
ret_1d,drawdown_60d,sector,same_raw_sources,False,False,,0,keep,0.23435792359372626,0.23435792359372626,0.24545997930043434,0.24545997930043434,0.23456660293745055,0.23456660293745055
ret_60d,volatility_20d,sector,same_raw_sources,False,False,,0,keep,0.231671690506021,0.231671690506021,0.2594857522605277,0.2594857522605277,0.32035140763725234,0.32035140763725234
ret_60d,volatility_10d,sector,same_raw_sources,False,False,,0,keep,0.22155452241206075,0.22155452241206075,0.24492200417859328,0.24492200417859328,0.28967431511427244,0.28967431511427244
ret_60d,range_1d,sector,empirical_only,False,False,,0,keep,0.21839901009020596,0.21839901009020596,0.21378506682569132,0.21378506682569132,0.2530569630120253,0.2530569630120253
turnover_z_20d,range_1d,sector,empirical_only,False,False,,0,keep,0.21729444002802137,0.21729444002802137,0.20534195213373246,0.20534195213373246,0.1693489414684992,0.1693489414684992
volatility_20d,ma_gap_10_60,sector,same_raw_sources,False,False,,0,keep,0.21338747700436445,0.21338747700436445,0.2306208369038515,0.2306208369038515,0.2710450227125938,0.2710450227125938
volatility_10d,ma_gap_10_60,sector,same_raw_sources,False,False,,0,keep,0.2105686739321989,0.2105686739321989,0.23725724909695473,0.23725724909695473,0.2478436765704756,0.2478436765704756
volume_z_20d,range_1d,sector,empirical_only,False,False,,0,keep,0.2101956113462005,0.2101956113462005,0.20537456998855616,0.20537456998855616,0.17182821170566812,0.17182821170566812
ret_1d,ret_20d,sector,same_raw_sources,True,False,,0,keep,0.19362203914693632,0.19362203914693632,0.18462694244599936,0.18462694244599936,0.20193241433033152,0.20193241433033152
ret_1d,risk_adj_20_60,sector,right_derived_from_left,True,False,,0,keep,0.19227999302461607,0.19227999302461607,0.18481975788361113,0.18481975788361113,0.19735208390930917,0.19735208390930917
ma_gap_10_60,range_1d,sector,empirical_only,False,False,,0,keep,0.19212615437062616,0.19212615437062616,0.1947143221628451,0.1947143221628451,0.21303216410815487,0.21303216410815487
risk_adj_20_60,range_1d,sector,empirical_only,False,False,,0,keep,0.190255884045235,0.190255884045235,0.18286575692812487,0.18286575692812487,0.2019522570419675,0.2019522570419675
ret_20d,range_1d,sector,empirical_only,False,False,,0,keep,0.1856858090381511,0.1856858090381511,0.18488039523489117,0.18488039523489117,0.17471437909438253,0.17471437909438253
ret_3d,ret_60d,sector,same_raw_sources,True,False,,0,keep,0.18436020826451674,0.18436020826451674,0.17826860990715887,0.17826860990715887,0.19820347102410588,0.19820347102410588
market_dispersion_20d,market_trend_60d,context,same_raw_sources,True,False,,0,keep,0.18200358802694586,0.18200358802694586,0.03332531575090163,0.03332531575090163,-0.3528157896854364,0.3528157896854364
volatility_10d,risk_adj_20_60,sector,same_raw_sources,False,False,,0,keep,0.17161836405633407,0.17161836405633407,0.17148968220140196,0.17148968220140196,0.2394267357937864,0.2394267357937864
ret_20d,volatility_10d,sector,same_raw_sources,False,False,,0,keep,0.1660414100475551,0.1660414100475551,0.18847450386498074,0.18847450386498074,0.18909776096666633,0.18909776096666633
volatility_20d,drawdown_60d,sector,same_raw_sources,True,False,,0,keep,-0.16013046465561628,0.16013046465561628,-0.23561129180514975,0.23561129180514975,-0.12943743545130043,0.12943743545130043
market_dispersion_20d,market_vol_percentile,context,same_raw_sources,True,False,,0,keep,0.1562173807346655,0.1562173807346655,0.3083328279499202,0.3083328279499202,-0.0826510345085394,0.0826510345085394
ma_gap_5_20,range_1d,sector,empirical_only,False,False,,0,keep,0.15143198947430236,0.15143198947430236,0.16234339875827994,0.16234339875827994,0.1386825060159123,0.1386825060159123
risk_adj_10_20,range_1d,sector,empirical_only,False,False,,0,keep,0.14977130572279437,0.14977130572279437,0.15440780884694022,0.15440780884694022,0.13863649681250456,0.13863649681250456
ret_10d,range_1d,sector,empirical_only,False,False,,0,keep,0.14829874563160766,0.14829874563160766,0.16619925915866474,0.16619925915866474,0.12237220179925044,0.12237220179925044
volatility_20d,risk_adj_20_60,sector,same_raw_sources,False,False,,0,keep,0.1442240504109126,0.1442240504109126,0.11795465964967325,0.11795465964967325,0.23800346676279557,0.23800346676279557
volatility_10d,ma_gap_5_20,sector,same_raw_sources,False,False,,0,keep,0.1394052589922796,0.1394052589922796,0.17332652430496168,0.17332652430496168,0.15545903487828666,0.15545903487828666
ret_20d,volatility_20d,sector,same_raw_sources,False,False,,0,keep,0.13842928162138843,0.13842928162138843,0.14178681508982632,0.14178681508982632,0.17689815618947144,0.17689815618947144
risk_adj_5_20,ma_gap_10_60,sector,same_raw_sources,True,False,,0,keep,0.1381116736982243,0.1381116736982243,0.10095433029895025,0.10095433029895025,0.18258610115887167,0.18258610115887167
risk_adj_5_20,range_1d,sector,empirical_only,False,False,,0,keep,0.1262895693184086,0.1262895693184086,0.13722503064680255,0.13722503064680255,0.11137274172564117,0.11137274172564117
ret_5d,ma_gap_10_60,sector,same_raw_sources,True,False,,0,keep,0.1252843056672084,0.1252843056672084,0.10489088305118376,0.10489088305118376,0.14656076099858054,0.14656076099858054
ret_5d,range_1d,sector,empirical_only,False,False,,0,keep,0.11846447013178867,0.11846447013178867,0.13939596055906134,0.13939596055906134,0.09146182974700105,0.09146182974700105
ret_1d,range_1d,sector,empirical_only,False,False,,0,keep,0.11443156208057649,0.11443156208057649,0.12875338429926278,0.12875338429926278,0.0912764116023082,0.0912764116023082
ret_10d,volatility_10d,sector,same_raw_sources,False,False,,0,keep,0.10861399762341778,0.10861399762341778,0.1324672424992271,0.1324672424992271,0.12150899549948645,0.12150899549948645
ret_1d,ret_60d,sector,same_raw_sources,True,False,,0,keep,0.10812011992027128,0.10812011992027128,0.10843704448725014,0.10843704448725014,0.10927308474184368,0.10927308474184368
volatility_10d,risk_adj_10_20,sector,same_raw_sources,False,False,,0,keep,0.10663802815646288,0.10663802815646288,0.09626644676799015,0.09626644676799015,0.1534674337745706,0.1534674337745706
ret_3d,range_1d,sector,empirical_only,False,False,,0,keep,0.10530329153457353,0.10530329153457353,0.12006335484597394,0.12006335484597394,0.08623886030828766,0.08623886030828766
volatility_10d,drawdown_60d,sector,same_raw_sources,True,False,,0,keep,-0.1048328815429655,0.1048328815429655,-0.16673741893044033,0.16673741893044033,-0.09579551025763337,0.09579551025763337
market_breadth_20d,market_dispersion_20d,context,same_raw_sources,True,False,,0,keep,0.08749598881536137,0.08749598881536137,0.03798871136299788,0.03798871136299788,0.07007896308049352,0.07007896308049352
volatility_20d,ma_gap_5_20,sector,same_raw_sources,False,False,,0,keep,0.0859919801994575,0.0859919801994575,0.09464060930289574,0.09464060930289574,0.11068507346338768,0.11068507346338768
close_pos_20d,range_1d,sector,overlapping_raw_sources,False,False,,0,keep,0.08433128628359773,0.08433128628359773,0.13075970683970434,0.13075970683970434,0.13880070684860907,0.13880070684860907
ret_1d,ma_gap_5_20,sector,same_raw_sources,True,False,,0,keep,0.07519253662566674,0.07519253662566674,0.062189990091332956,0.062189990091332956,0.09151627416991599,0.09151627416991599
ret_60d,volume_z_20d,sector,empirical_only,False,False,,0,keep,0.07451014684102673,0.07451014684102673,0.06533464946095534,0.06533464946095534,0.08085236977976128,0.08085236977976128
ret_60d,turnover_z_20d,sector,empirical_only,False,False,,0,keep,0.07427849934919935,0.07427849934919935,0.05713345084288491,0.05713345084288491,0.07576578120243344,0.07576578120243344
ret_3d,ma_gap_10_60,sector,same_raw_sources,True,False,,0,keep,0.0604980649678617,0.0604980649678617,0.04597941305858113,0.04597941305858113,0.08364200443226938,0.08364200443226938
volatility_20d,risk_adj_10_20,sector,right_derived_from_left,False,False,,0,keep,0.05221596667388945,0.05221596667388945,0.01732458780133613,0.01732458780133613,0.11563400800445633,0.11563400800445633
volatility_10d,risk_adj_5_20,sector,same_raw_sources,False,False,,0,keep,0.05173235388183752,0.05173235388183752,0.02962329036202319,0.02962329036202319,0.10680689751291587,0.10680689751291587
ret_10d,volatility_20d,sector,same_raw_sources,False,False,,0,keep,0.05171996119653258,0.05171996119653258,0.06078911035281511,0.06078911035281511,0.0734664269166048,0.0734664269166048
ret_5d,volatility_10d,sector,same_raw_sources,False,False,,0,keep,0.04804907107113336,0.04804907107113336,0.05041483660742778,0.05041483660742778,0.061930525460200746,0.061930525460200746
volatility_10d,volume_z_20d,sector,empirical_only,False,False,,0,keep,0.04390987673338558,0.04390987673338558,0.03594772406379086,0.03594772406379086,0.04879791387231537,0.04879791387231537
volatility_10d,turnover_z_20d,sector,empirical_only,False,False,,0,keep,0.03828278818405421,0.03828278818405421,0.03166372965180968,0.03166372965180968,0.04888809791672231,0.04888809791672231
ma_gap_10_60,volume_z_20d,sector,empirical_only,False,False,,0,keep,0.03479001351980316,0.03479001351980316,0.02374888836537661,0.02374888836537661,0.059016460885753866,0.059016460885753866
ma_gap_10_60,turnover_z_20d,sector,empirical_only,False,False,,0,keep,0.03380395343173979,0.03380395343173979,0.015241947157076982,0.015241947157076982,0.054912699433592074,0.054912699433592074
volatility_20d,close_pos_20d,sector,overlapping_raw_sources,False,False,,0,keep,-0.03146175688079606,0.03146175688079606,-0.020886940404849563,0.020886940404849563,0.034567262830880525,0.034567262830880525
volatility_20d,risk_adj_5_20,sector,right_derived_from_left,False,False,,0,keep,0.026987201896191523,0.026987201896191523,-0.000931479711237698,0.000931479711237698,0.08964143625058123,0.08964143625058123
